graph_id,src_id,dst_id,label,train_mask,val_mask,test_mask
0,181,156,0,True,False,False
0,156,181,0,True,False,False
0,156,105,0,True,False,False
0,105,156,0,True,False,False
0,181,40,0,True,False,False
0,40,181,0,True,False,False
0,181,11,0,True,False,False
0,11,181,0,True,False,False
0,181,81,0,True,False,False
0,81,181,0,True,False,False
0,181,38,0,True,False,False
0,38,181,0,True,False,False
0,181,134,0,True,False,False
0,134,181,0,True,False,False
0,181,152,0,True,False,False
0,152,181,0,True,False,False
0,181,56,0,True,False,False
0,56,181,0,True,False,False
0,181,22,0,True,False,False
0,22,181,0,True,False,False
0,181,78,0,True,False,False
0,78,181,0,True,False,False
0,181,120,0,True,False,False
0,120,181,0,True,False,False
0,181,28,0,True,False,False
0,28,181,0,True,False,False
0,181,125,0,True,False,False
0,125,181,0,True,False,False
0,181,51,0,True,False,False
0,51,181,0,True,False,False
0,181,23,0,True,False,False
0,23,181,0,True,False,False
0,181,103,0,True,False,False
0,103,181,0,True,False,False
0,181,66,0,True,False,False
0,66,181,0,True,False,False
0,181,69,0,True,False,False
0,69,181,0,True,False,False
0,181,155,0,True,False,False
0,155,181,0,True,False,False
0,181,113,0,True,False,False
0,113,181,0,True,False,False
0,103,102,0,True,False,False
0,102,103,0,True,False,False
0,51,189,0,True,False,False
0,189,51,0,True,False,False
0,22,8,0,True,False,False
0,8,22,0,True,False,False
0,49,5,0,True,False,False
0,5,49,0,True,False,False
0,49,89,0,True,False,False
0,89,49,0,True,False,False
0,69,49,0,True,False,False
0,49,69,0,True,False,False
0,102,63,0,True,False,False
0,63,102,0,True,False,False
0,63,59,0,True,False,False
0,59,63,0,True,False,False
0,40,18,0,True,False,False
0,18,40,0,True,False,False
0,174,96,0,True,False,False
0,96,174,0,True,False,False
0,155,174,0,True,False,False
0,174,155,0,True,False,False
0,189,121,0,True,False,False
0,121,189,0,True,False,False
0,137,132,0,True,False,False
0,132,137,0,True,False,False
0,132,1,0,True,False,False
0,1,132,0,True,False,False
0,125,102,0,True,False,False
0,102,125,0,True,False,False
0,102,184,0,True,False,False
0,184,102,0,True,False,False
0,8,73,0,True,False,False
0,73,8,0,True,False,False
0,136,86,0,True,False,False
0,86,136,0,True,False,False
0,136,98,0,True,False,False
0,98,136,0,True,False,False
0,105,136,0,True,False,False
0,136,105,0,True,False,False
0,105,158,0,True,False,False
0,158,105,0,True,False,False
0,137,68,0,True,False,False
0,68,137,0,True,False,False
0,66,161,0,True,False,False
0,161,66,0,True,False,False
0,56,186,0,True,False,False
0,186,56,0,True,False,False
0,113,48,0,True,False,False
0,48,113,0,True,False,False
0,120,27,0,True,False,False
0,27,120,0,True,False,False
0,39,13,0,True,False,False
0,13,39,0,True,False,False
0,11,39,0,True,False,False
0,39,11,0,True,False,False
0,81,39,0,True,False,False
0,39,81,0,True,False,False
0,39,61,0,True,False,False
0,61,39,0,True,False,False
0,48,61,0,True,False,False
0,61,48,0,True,False,False
0,23,48,0,True,False,False
0,48,23,0,True,False,False
0,48,37,0,True,False,False
0,37,48,0,True,False,False
0,137,16,0,True,False,False
0,16,137,0,True,False,False
0,137,4,0,True,False,False
0,4,137,0,True,False,False
0,184,20,0,True,False,False
0,20,184,0,True,False,False
0,184,59,0,True,False,False
0,59,184,0,True,False,False
0,161,184,0,True,False,False
0,184,161,0,True,False,False
0,183,88,0,True,False,False
0,88,183,0,True,False,False
0,78,183,0,True,False,False
0,183,78,0,True,False,False
0,28,137,0,True,False,False
0,137,28,0,True,False,False
0,134,161,0,True,False,False
0,161,134,0,True,False,False
0,155,62,0,True,False,False
0,62,155,0,True,False,False
0,38,173,0,True,False,False
0,173,38,0,True,False,False
0,173,93,0,True,False,False
0,93,173,0,True,False,False
0,161,194,0,True,False,False
0,194,161,0,True,False,False
0,18,46,0,True,False,False
0,46,18,0,True,False,False
0,27,110,0,True,False,False
0,110,27,0,True,False,False
0,195,150,0,True,False,False
0,150,195,0,True,False,False
0,152,195,0,True,False,False
0,195,152,0,True,False,False
0,195,75,0,True,False,False
0,75,195,0,True,False,False
0,195,87,0,True,False,False
0,87,195,0,True,False,False
0,195,112,0,True,False,False
0,112,195,0,True,False,False
0,105,3,0,True,False,False
0,3,105,0,True,False,False
0,186,100,0,True,False,False
0,100,186,0,True,False,False
0,62,131,0,True,False,False
0,131,62,0,True,False,False
0,3,98,0,True,False,False
0,98,3,0,True,False,False
0,194,59,0,True,False,False
0,59,194,0,True,False,False
0,89,190,0,True,False,False
0,190,89,0,True,False,False
0,89,17,0,True,False,False
0,17,89,0,True,False,False
0,44,77,0,True,False,False
0,77,44,0,True,False,False
0,88,44,0,True,False,False
0,44,88,0,True,False,False
0,164,162,0,True,False,False
0,162,164,0,True,False,False
0,93,164,0,True,False,False
0,164,93,0,True,False,False
0,96,169,0,True,False,False
0,169,96,0,True,False,False
